date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones,Artus,Trorin
26-04-2020,Alnitak,Private,53,1086,632,473876,23,4129,2963524,4800,0,0
26-04-2020,Antar,Leader,13,1073,788,588152,31,3599,3627509,4800,1,0
26-04-2020,Aras-LT,Private,30,585,450,327235,11,3798,3418824,4296,0,0
26-04-2020,Ashen,Officer,18,1234,515,593917,36,3803,3226638,4800,1,0
26-04-2020,Chizzy,Private,27,290,160,241524,4,3524,2138462,4800,0,0
26-04-2020,Clam,Veteran,30,714,356,332518,17,3509,2802215,4800,0,0
26-04-2020,Dark,Private,1,402,551,559907,28,4042,3671843,4800,1,0
26-04-2020,Defeated,Private,59,751,454,295184,10,3330,2346512,4426,0,0
26-04-2020,Eraser,Private,31,429,412,377010,7,3443,3276160,4800,0,0
26-04-2020,Flmfx,Private,83,616,223,456852,15,4065,3012097,4800,0,0
26-04-2020,GodofWar,Veteran,101,636,292,315258,14,3897,3495887,4800,0,0
26-04-2020,Grakas,Veteran,22,889,632,552672,20,3713,3569960,4800,1,0
26-04-2020,Hellsorcerer,Officer,2,1415,610,537722,33,3562,2577067,4800,1,1
26-04-2020,Hollaaa,Private,15,662,630,409694,20,3830,3157423,4800,1,0
26-04-2020,Hsubox,Private,48,682,232,346438,8,4315,2842339,4800,0,0
26-04-2020,Ilya,Private,213,653,327,367409,2,0,0,600,0,0
26-04-2020,Lie_to_me,Private,53,1060,676,463883,24,3047,1892949,4800,0,0
26-04-2020,loki,Private,43,839,430,416533,18,3617,2494396,4800,0,0
26-04-2020,Malachai,Veteran,127,541,505,541307,29,3726,3482776,4800,0,0
26-04-2020,Mantis,Private,98,172,304,545724,24,3570,969126,4800,0,0
26-04-2020,Mellow,Private,26,908,548,438051,16,3352,3076245,4800,1,0
26-04-2020,Myname,Officer,35,1805,912,526461,28,3336,3169028,4800,1,0
26-04-2020,Peppe,Private,112,528,410,337785,10,3250,2543678,4800,0,0
26-04-2020,Pigbag,Private,29,524,242,304181,9,3504,2051273,4800,0,0
26-04-2020,Rukes,Private,6,1709,832,480327,26,4010,4090345,4800,1,1
26-04-2020,Sagitarius,Private,91,828,566,457909,18,3846,3181621,4800,0,0
26-04-2020,Saint,Officer,35,1112,822,489254,11,3381,3417685,4800,0,0
26-04-2020,Sicarium,Private,6,346,164,207431,6,3904,3058706,4800,0,0
26-04-2020,Skytng,Private,123,141,72,403904,7,3377,2125258,4800,0,0
26-04-2020,Spinesnap,Private,67,447,259,386775,9,3389,2357632,4800,0,0
