date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones,Artus,Trorin
03-05-2020,Alnitak,Private,35,1109,650,479237,23,3993,2805901,4800,0,0
03-05-2020,Antar,Leader,23,1083,800,588600,32,3666,2288046,4800,1,0
03-05-2020,Aras-LT,Private,31,603,459,330832,13,3698,2281261,3976,0,0
03-05-2020,Ashen,Officer,13,1260,525,599499,37,3834,3766482,4800,1,0
03-05-2020,Chizzy,Private,23,303,167,263356,4,3504,2138462,4800,0,0
03-05-2020,Clam,Veteran,37,742,366,338279,17,3664,2849456,4800,0,0
03-05-2020,Dark,Private,1,421,568,562213,29,3485,3714305,4800,1,0
03-05-2020,Defeated,Private,63,770,466,305290,10,3353,1835957,4800,0,0
03-05-2020,Eraser,Private,26,443,416,381485,9,3508,3182854,4800,0,0
03-05-2020,Flmfx,Private,39,643,231,472460,16,4610,3092142,4800,0,0
03-05-2020,GodofWar,Veteran,40,664,296,333336,15,4046,3380718,4800,0,0
03-05-2020,Grakas,Veteran,10,919,646,556652,23,3990,3572174,4800,1,0
03-05-2020,Hellsorcerer,Officer,14,1437,621,542273,33,3795,3318636,4800,1,1
03-05-2020,Hollaaa,Private,19,670,639,416329,20,3950,2731251,4800,1,0
03-05-2020,Hsubox,Private,44,706,249,362421,8,4215,2693153,4800,0,0
03-05-2020,Lie_to_me,Private,67,1082,697,470849,25,3471,1959393,4800,0,0
03-05-2020,loki,Private,39,848,436,422022,19,3722,4095972,4800,0,0
03-05-2020,Malachai,Veteran,139,541,527,545186,29,3243,2898098,4800,0,0
03-05-2020,Mantis,Private,86,180,312,547776,25,3414,1149125,4800,0,0
03-05-2020,Mellow,Private,29,930,563,445657,17,3492,3377563,4800,1,0
03-05-2020,Myname,Officer,15,1833,921,533975,29,3655,2751500,4800,1,0
03-05-2020,Peppe,Private,170,534,415,346013,10,3328,2910635,4800,0,0
03-05-2020,Pigbag,Private,36,549,262,317310,9,3399,2148524,4800,0,0
03-05-2020,Rukes,Private,7,1734,842,481912,26,3923,3754202,4800,1,1
03-05-2020,Sagitarius,Private,100,845,572,465771,19,3860,3880177,4800,0,0
03-05-2020,Saint,Officer,33,1120,831,495063,11,3312,2462014,4800,0,0
03-05-2020,Sicarium,Private,8,362,173,214689,7,3901,2797277,4800,0,0
03-05-2020,Skytng,Private,118,142,72,407584,7,3366,1964690,4800,0,0
03-05-2020,Spinesnap,Private,70,462,268,391729,11,3553,2096060,4708,0,0
