date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
03-05-2020,AngelaPapi,veteran,100,671,318,499372,20,4299,1776058,4800
03-05-2020,Annanana,private,124,487,309,324409,7,3560,2621141,4518
03-05-2020,Berserkresse,private,92,614,445,372731,13,4089,2636447,4800
03-05-2020,bnv,private,125,461,366,433221,16,3520,3564477,4800
03-05-2020,Breyn,leader,6,1196,696,502834,27,4105,4195293,4800
03-05-2020,D_Mac,private,38,631,366,491807,11,4447,2887682,4800
03-05-2020,Displace,private,47,564,440,294095,14,3929,1763874,4716
03-05-2020,DocStrange,private,57,1124,728,470892,19,3098,2251858,3852
03-05-2020,Dom,veteran,172,782,531,479106,22,4031,3703023,4800
03-05-2020,Drizzt4Ever,officer,25,1018,605,450742,20,4159,4095293,4800
03-05-2020,Fisichella,veteran,50,1135,594,373858,19,3047,3695426,4188
03-05-2020,Foxgloves,officer,29,647,371,437200,13,3955,2411280,4800
03-05-2020,Glory,veteran,97,827,678,441779,19,2498,1716305,4358
03-05-2020,Imper0s,officer,60,843,407,411395,16,4466,4593731,4752
03-05-2020,IrishWrath,officer,30,584,386,426005,15,4347,3421712,4800
03-05-2020,KARMA,officer,33,708,377,343345,14,4047,3278135,4800
03-05-2020,Kropman,private,32,682,781,488128,12,4462,4218523,4800
03-05-2020,Lux,private,116,702,506,391727,17,3474,2629723,3576
03-05-2020,matrixttd,veteran,39,877,521,519346,24,3631,3456128,4800
03-05-2020,Mazsola,private,6,224,312,415429,12,1932,1478974,2400
03-05-2020,Mbad,veteran,86,612,549,459281,16,3438,2536425,3916
03-05-2020,Mikaeus,private,199,392,439,410508,2,4073,2466543,4800
03-05-2020,Minimoose27,private,23,550,276,418787,17,4479,4981532,4800
03-05-2020,MrMilanna,veteran,134,561,304,431245,11,3695,2764236,4800
03-05-2020,Psykosis,veteran,167,668,448,355212,12,3649,1796134,4636
03-05-2020,sillien,private,151,432,382,297868,6,3550,2214163,4748
03-05-2020,skinwalker,private,177,239,140,395666,6,3805,831790,4238
03-05-2020,The Wiza,private,311,509,243,356237,3,3646,1457999,4576
03-05-2020,TRUNG,private,111,496,319,529258,18,3463,3335752,4800
03-05-2020,WhoTFCars,private,74,770,368,387349,14,4189,3662287,4800
