date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
26-07-2020,AngelaPapi,veteran,34,859,446,648911,35,4788,3606038,4800
26-07-2020,Annanana,private,134,597,383,401028,14,3776,1877477,4566
26-07-2020,Azrael,private,3,1758,1011,678942,47,3821,2806707,4514
26-07-2020,Berserkresse,private,57,873,563,494116,21,4054,3001052,4376
26-07-2020,bnv,private,90,612,459,531751,24,3843,3354622,4800
26-07-2020,Breyn,leader,28,1453,803,637572,46,4565,4197014,4784
26-07-2020,D_Mac,private,103,760,521,596960,25,3540,1988355,4200
26-07-2020,Displace,private,37,735,642,429046,26,4337,2185520,4800
26-07-2020,DocStrange,private,53,1372,882,545739,27,3706,2467117,4592
26-07-2020,Dom,veteran,124,853,605,593465,29,4467,4056605,4800
26-07-2020,Drizzt4Ever,officer,10,1324,717,561723,33,4502,4225747,4800
26-07-2020,Fisichella,veteran,60,1367,754,491831,28,4184,3588003,4800
26-07-2020,Foxgloves,officer,3,934,514,551432,25,3702,2796747,4200
26-07-2020,Glory,veteran,138,871,814,500950,23,2816,1571813,4144
26-07-2020,Imper0s,officer,155,1076,503,493664,22,3782,2820380,4800
26-07-2020,IrishWrath,officer,24,819,519,552221,29,4714,4873001,4800
26-07-2020,KARMA,officer,74,1007,469,473529,28,4277,2165108,4800
26-07-2020,Kropman,private,15,852,908,606853,24,4598,3032638,4138
26-07-2020,Lux,private,133,799,643,462410,22,3806,1054950,3782
26-07-2020,Mazsola,private,7,329,464,521664,25,3760,250052,4580
26-07-2020,Mbad,veteran,81,626,611,535658,20,3052,1884436,3708
26-07-2020,Mikaeus,private,214,541,546,551896,4,4504,3253207,4800
26-07-2020,Minimoose27,private,12,829,393,540930,27,4875,4111710,4800
26-07-2020,MrMilanna,veteran,86,681,381,529960,20,4187,3411751,4800
26-07-2020,MrMoJoRisin,private,106,286,277,599351,19,1564,1988355,2276
26-07-2020,Psykosis,veteran,218,758,528,447401,13,4096,2461615,4792
26-07-2020,skinwalker,private,23,380,220,533437,17,3919,2356386,3872
26-07-2020,The Wiza,private,271,632,309,453915,15,3484,2708532,3760
26-07-2020,uncleb,private,139,821,546,525686,12,4026,2792326,4800
26-07-2020,WhoTFCars,private,71,1077,498,519754,26,4669,3680584,4760
