date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
26-04-2020,AngelaPapi,veteran,119,655,311,493124,18,3854,2207788,4800
26-04-2020,Annanana,private,124,474,301,319030,7,0,373919,340
26-04-2020,Berserkresse,private,85,592,435,357300,12,3931,3454205,4800
26-04-2020,bnv,private,114,453,360,423437,16,3404,2879575,4800
26-04-2020,Breyn,leader,23,1173,683,496236,25,3775,4670116,4800
26-04-2020,D_Mac,private,52,615,354,480842,11,4249,3937312,4800
26-04-2020,Displace,private,36,552,428,281603,14,3734,2199464,4784
26-04-2020,DocStrange,private,74,1099,718,463314,18,3290,2219820,4016
26-04-2020,Dom,veteran,149,780,527,473200,22,3830,3686656,4800
26-04-2020,Drizzt4Ever,officer,25,995,598,444297,18,4159,5164416,4800
26-04-2020,Fisichella,veteran,71,1109,580,369010,18,3587,2564410,4152
26-04-2020,Foxgloves,officer,17,632,359,428513,12,3930,4507508,4800
26-04-2020,Glory,veteran,62,825,668,438683,19,2892,3208926,4106
26-04-2020,Imper0s,officer,60,821,400,407645,15,4358,4693639,4800
26-04-2020,IrishWrath,officer,31,566,382,414428,13,4352,3910169,4800
26-04-2020,KARMA,officer,19,684,369,331906,12,3806,4500699,4800
26-04-2020,Kropman,private,40,661,774,481358,10,4352,4599402,4800
26-04-2020,Lux,private,118,686,495,388459,17,3416,2160510,4146
26-04-2020,matrixttd,veteran,71,860,506,511777,23,3527,4136283,4800
26-04-2020,Mbad,veteran,77,611,534,455108,16,3739,2742644,4468
26-04-2020,Mikaeus,private,195,382,429,401900,1,3735,2892476,4800
26-04-2020,Minimoose27,private,23,526,257,407203,16,4345,4670116,4800
26-04-2020,MrMilanna,veteran,136,553,297,422160,11,3817,3212170,4720
26-04-2020,Psykosis,veteran,186,658,444,350136,12,3455,3190165,4800
26-04-2020,sillien,private,135,431,378,284131,4,3552,1958916,4666
26-04-2020,skinwalker,private,160,227,139,381838,4,3768,1559224,4620
26-04-2020,The Wiza,private,332,500,238,351286,2,3775,872090,4588
26-04-2020,TRUNG,private,111,496,313,524929,17,3344,4420513,4800
26-04-2020,WhoTFCars,private,66,749,356,381404,13,3954,4437844,4800
