date,name,role,arena_place,arena_victories,arena_defences,total_power,maxed_heroes,clan_tokens,raid_points,portal_stones
09-04-2020,AngelaPapi,veteran,134,630,301,476 142,16,4 379,1 709 968,4 800
09-04-2020,bnv,private,169,429,344,403 900,14,3 564,3 211 927,4 396
09-04-2020,Breyn,leader,16,1 123,654,462 650,22,4 067,2 868 349,4 708
09-04-2020,D_Mac,private,112,557,323,450 724,9,4 421,3 566 458,4 747
09-04-2020,Displace,private,31,516,388,255 116,12,3 777,3 423 489,4 770
09-04-2020,DocStrange,private,50,1 050,692,455 027,18,3 665,1 715 478,3 689
09-04-2020,Dom,veteran,215,768,510,454 772,20,4 011,3 811 027,4 800
09-04-2020,Drizzt4Ever,officer,65,935,585,411 888,15,4 382,3 907 645,4 800
09-04-2020,Fisichella,veteran,31,1 054,550,351 726,16,3 725,3 632 360,4 764
09-04-2020,Foxgloves,officer,39,582,333,403 412,11,3 830,3 086 414,4 800
09-04-2020,Fryseboksen,private,18,369,260,266 255,7,3 878,3 004 734,4 539
09-04-2020,Glory,veteran,69,801,637,426 330,17,3 100,2 707 429,4 160
09-04-2020,Imper0s,officer,73,761,383,389 771,13,4 486,3 641 841,4 396
09-04-2020,IrishWrath,officer,29,520,349,392 501,12,4 540,3 430 287,4 428
09-04-2020,KARMA,officer,30,618,340,308 435,12,3 866,3 636 920,4 784
09-04-2020,Kropman,private,300,600,731,447 618,7,3 878,3 004 734,4 539
09-04-2020,Lux,private,125,660,468,366 821,16,3 827,2 506 546,4 422
09-04-2020,matrixttd,veteran,77,813,472,481 968,22,3 531,3 656 851,4 800
09-04-2020,Mbad,veteran,85,595,496,434 915,16,3 578,3 398 807,4 314
09-04-2020,Mikaeus,private,345,353,403,376 243,0,3 878,3 004 734,4 539
09-04-2020,Minimoose27,private,40,479,229,376 070,13,4 273,4 373 944,4 800
09-04-2020,MrMilanna,veteran,104,547,278,405 143,10,4 036,3 996 208,4 800
09-04-2020,Psykosis,veteran,214,632,426,340 496,12,3 795,2 224 235,4 420
09-04-2020,Rhellik,private,368,342,248,273 415,0,3 681,421 320,4 068
09-04-2020,sillien,private,145,404,352,268 052,1,3 663,1 735 206,4 712
09-04-2020,skinwalker,private,98,198,128,352 138,0,3 651,860 404,4 352
09-04-2020,The Wiza,private,297,482,214,328 142,1,3 878,3 004 734,4 539
09-04-2020,Tristanslav,private,176,249,261,396 329,14,2 952,2 966 513,3 666
09-04-2020,TRUNG,private,119,493,306,502 954,14,3 646,3 826 753,4 800
09-04-2020,WhoTFCars,private,44,688,329,354 679,11,4 384,3 806 692,4 816
